Tm,G,Att/G,Comp/G,Cmp%,Yds,Y/G,TD,Int!,1stD,Long,Sack!,YdsL,Att
Utah,12,28,17.9,64,2269,189.1,15,11,99,66,20,-139,336
Wyoming,12,25.7,15.3,59.4,2247,187.3,20,11,95,92,31,-234,308.4
UCF,12,35.4,17.6,49.6,2246,187.2,13,23,110,62,23,-164,424.8
Georgia,12,25.3,15.6,61.5,2245,187.1,14,8,107,48,13,-87,303.6
Ohio St.,12,24.5,15.4,62.9,2244,187,19,8,102,54,17,-90,294
South Florida,12,22.3,13.7,61.4,2229,185.8,26,9,84,71,21,-90,267.6
Fresno St.,12,33.6,16.8,50.1,2140,178.3,20,16,97,82,27,-183,403.2
Kansas St.,12,26.7,12.5,46.9,2125,177.1,14,12,89,77,33,-208,320.4
Auburn,12,24.2,14.1,58.3,2107,175.6,11,9,90,77,19,-141,290.4
Maryland,12,32.3,15.3,47.2,2092,174.3,15,29,96,70,25,-152,387.6
Charlotte,12,31.3,16.3,52.3,2089,174.1,12,23,96,63,42,-252,375.6
LSU,11,23.2,12.3,52.9,1904,173.1,13,5,77,67,17,-119,255.2
Nevada,12,26.5,15,56.6,2065,172.1,15,7,100,73,21,-169,318
Vanderbilt,12,31.3,16,51.1,2062,171.8,11,16,94,44,28,-178,375.6
Missouri,12,31.1,15.5,49.9,1986,165.5,10,12,85,78,30,-176,373.2
North Texas,12,33.9,15.8,46.7,1937,161.4,12,11,83,93,27,-208,406.8
Oregon St.,12,28.7,13.5,47.1,1910,159.2,10,11,89,74,19,-127,344.4
Syracuse,12,25.5,13.7,53.6,1881,156.8,19,9,80,89,21,-119,306
Texas,12,21,11.6,55.2,1751,145.9,9,6,69,84,32,-186,252
S. Diego St.,13,18.5,10.2,55,1859,143,17,3,78,58,19,-118,240.5
Northwestern,12,26.6,13.3,50.2,1672,139.3,8,9,96,66,25,-156,319.2
Kent St.,12,28.6,14.6,51,1657,138.1,9,10,71,58,13,-87,343.2
New Mexico,12,17.3,9,51.9,1579,131.6,6,11,54,86,11,-79,207.6
Air Force,13,11.9,6.2,51.6,1698,130.6,15,11,59,75,2,-5,154.7
Georgia Tech,12,16,6.8,42.2,1462,121.8,14,10,63,58,15,-116,192
Boston Coll.,12,20.7,9.2,44.4,1331,110.9,8,9,59,66,28,-183,248.4
Army,12,9,4.1,45.4,1128,94,10,9,36,71,15,-107,108
Navy,12,8.7,4.5,51.9,1107,92.3,9,2,32,75,14,-107,104.4
Georgia Southern,12,10.8,4.6,42.6,742,61.8,4,10,34,60,7,-46,129.6
